discussionId,discussionType,entityId,entityType,discussionCreatedAt,score
56270,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-07-30 15:18:28.000000,95.2579225657124
56228,4,Pen1BQq4V4oQ,notebook,2025-07-29 17:21:03.000000,89.14666666666669
56226,4,Pen1BQj7V4oQ,notebook,2025-07-29 17:19:21.000000,87.8755555555556
56217,4,xLYmRXoa16ov,notebook,2025-07-29 17:04:50.000000,86.6044444444444
56178,4,Pen1BEe4V4oQ,notebook,2025-07-29 13:38:53.000000,86.1155555555556
56126,4,xLYmRZ5jm6ov,notebook,2025-07-28 15:55:50.000000,82.4977777777778
56197,4,Pen1BX0lm4oQ,notebook,2025-07-29 15:48:17.000000,82.39999999999999
56137,4,Pen1Bw6724oQ,notebook,2025-07-28 18:43:03.000000,81.8133333333333
56005,2,74bbc495-bfd4-4528-9a71-325d746180c3,workspace,2025-07-25 12:58:04.000000,81.1906662832143
55408,2,0654ef53-bb51-4be3-9836-1c403a1d3c3a,workspace,2025-07-21 13:59:48.000000,73.7071697516106
55181,2,c682a2b8-53bc-4f48-a816-b020c9678ede,workspace,2025-07-15 17:00:03.000000,66.3896368520867
54992,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-07-10 14:35:13.000000,64.3914716487761
54883,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-07-08 15:15:46.000000,63.2779375111166
55059,2,a2e2abd4-56fb-42c3-8b55-11d31cdea6c9,workspace,2025-07-11 17:01:27.000000,63.2232380246195
54661,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2025-07-02 13:12:59.000000,63.094928495365096
55184,2,d7ae0b36-4aef-40c7-86ae-2297169b1dcd,workspace,2025-07-15 17:42:18.000000,61.7868692958566
54727,2,1f49bd9d-29f5-4c47-84fc-596270f658f0,workspace,2025-07-03 14:28:18.000000,61.29422014788331
54733,2,c682a2b8-53bc-4f48-a816-b020c9678ede,workspace,2025-07-03 18:40:30.000000,61.2491298402205
33559,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2024-12-03 14:01:13.000000,60.994928495365095
38431,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2025-01-15 10:43:11.000000,60.994928495365095
47126,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2025-04-07 10:15:06.000000,60.994928495365095
54670,2,7e7595f0-4829-4f9a-aee1-75c126b9d417,workspace,2025-07-02 13:49:09.000000,60.8624512310901
56302,4,xLYmRxpO16ov,notebook,2025-07-31 04:43:02.000000,60.84
54498,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-06-27 14:59:59.000000,60.4157434934363
40395,2,0b1b0dd5-9d42-4066-b60f-757a0a7c3a69,workspace,2025-01-30 06:42:41.000000,60.4108935134174
52002,2,345300e6-346e-42e0-aed1-53717919aef0,workspace,2025-06-02 16:21:56.000000,60.4005356783989
47830,2,345300e6-346e-42e0-aed1-53717919aef0,workspace,2025-04-23 18:46:27.000000,60.4005356783989
56299,2,4501ecbe-9e11-4ab1-8e6f-49f9ebb8fd29,workspace,2025-07-31 02:57:57.000000,59.66370449678799
42185,2,6f729c41-9538-4a0f-a4e0-8a02d92d1e73,workspace,2025-02-13 00:04:23.000000,59.614454769940096
27093,2,6f729c41-9538-4a0f-a4e0-8a02d92d1e73,workspace,2024-10-17 09:21:21.000000,59.614454769940096
56206,4,xLYmRN0jm6ov,notebook,2025-07-29 16:52:38.000000,59.519999999999996
47287,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-04-10 18:45:21.000000,59.3373226243853
50784,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-05-23 15:06:49.000000,59.3373226243853
40824,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-02-03 14:23:42.000000,59.3373226243853
47026,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-04-03 18:27:42.000000,59.3373226243853
34126,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2024-12-06 19:25:38.000000,59.3373226243853
47030,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-04-03 19:07:00.000000,59.3373226243853
37304,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-01-06 19:40:17.000000,59.3373226243853
52184,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-06-03 16:16:32.000000,59.3373226243853
25826,2,f32a3a24-8715-4592-880d-4a362af34192,workspace,2024-10-08 09:42:08.000000,59.1525343663449
53257,2,7e7595f0-4829-4f9a-aee1-75c126b9d417,workspace,2025-06-11 21:27:53.000000,59.112451231090105
29500,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2024-11-04 15:33:31.000000,59.015743493436304
44832,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-03-05 16:08:11.000000,59.015743493436304
42479,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-02-14 15:44:05.000000,59.015743493436304
44531,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-03-03 15:30:02.000000,59.015743493436304
20538,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2024-08-28 15:07:03.000000,59.015743493436304
46395,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-03-17 15:08:30.000000,59.015743493436304
35949,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2024-12-20 15:57:05.000000,59.015743493436304
27568,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2024-10-21 13:23:28.000000,59.015743493436304
24589,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2024-09-27 13:21:07.000000,59.015743493436304